epoch,train_loss,val_loss,val_accuracy,learning_rate
1,1.480628689555136,2.068379207090898,0.22474747474747475,0.0015
2,1.1430135200367892,1.1854463189539284,0.5315656565656566,0.0015
3,1.025046389583173,0.9143608862703497,0.5669191919191919,0.0015
4,0.9259933757059502,1.0873420864644676,0.5315656565656566,0.0015
5,0.8453848444841763,1.1670179463396169,0.5189393939393939,0.0015
6,0.7749320572497798,0.9978039198451572,0.5845959595959596,0.00075
7,0.7252838001744207,0.6607286081169591,0.7045454545454546,0.00075
8,0.706119051697845,0.7125053152893529,0.672979797979798,0.00075
9,0.6876326603897965,0.6462425336693273,0.7070707070707071,0.00075
10,0.6783647331111996,0.643776393900014,0.7032828282828283,0.00075
11,0.6837261912019496,0.6838206913736131,0.7146464646464646,0.00075
12,0.652953574257951,0.7277496390872531,0.6919191919191919,0.00075
13,0.6369958415813413,0.6614876106531933,0.7222222222222222,0.000375
14,0.6162101057973988,0.6096696444232055,0.7411616161616161,0.000375
15,0.6039136974356816,0.6256291679661683,0.7234848484848485,0.000375
16,0.5980586051515929,0.6776641468809108,0.7209595959595959,0.000375
17,0.5864145905576288,0.6110565433598528,0.7411616161616161,0.0001875
18,0.5696458313979355,0.6374854541788197,0.7373737373737373,0.0001875
19,0.5787854479383445,0.6520562936561276,0.7373737373737373,0.0001875
